U.S. Natural Gas Imports
https://www.eia.gov/dnav/ng/hist/n9100us2m.htm
21:01:26 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. Natural Gas Imports  Million Cubic Feet
Jul 1977,72499
Jun 1977,76247
May 1977,85697
Apr 1977,84474
Mar 1977,100826
Feb 1977,91751
Jan 1977,86944
Dec 1976,83110
Nov 1976,80926
Oct 1976,85257
Sep 1976,74125
Aug 1976,76539
Jul 1976,73108
Jun 1976,75785
May 1976,81650
Apr 1976,85940
Mar 1976,84910
Feb 1976,78024
Jan 1976,84395
Dec 1975,85867
Nov 1975,80761
Oct 1975,80468
Sep 1975,73606
Aug 1975,75311
Jul 1975,80037
Jun 1975,76307
May 1975,79818
Apr 1975,82132
Mar 1975,83380
Feb 1975,74496
Jan 1975,80824
Dec 1974,86454
Nov 1974,83107
Oct 1974,82625
Sep 1974,70511
Aug 1974,76037
Jul 1974,73247
Jun 1974,74245
May 1974,79764
Apr 1974,83371
Mar 1974,85190
Feb 1974,78919
Jan 1974,85815
Dec 1973,88466
Nov 1973,85784
Oct 1973,92151
Sep 1973,81157
Aug 1973,84400
Jul 1973,79428
Jun 1973,79121
May 1973,85844
Apr 1973,88407
Mar 1973,91581
Feb 1973,83870
Jan 1973,92694
