U.S. Imports of Total Gasoline Weekly,
https://www.eia.gov/opendata/qb.php?sdid=PET.WGTIMUS2.W,
20:28:36 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Series ID: PET.WGTIMUS2.W Thousand Barrels per Day
11/3/2000,719
10/27/2000,310
10/20/2000,521
10/13/2000,698
10/6/2000,341
9/29/2000,497
9/22/2000,486
9/15/2000,521
9/8/2000,377
9/1/2000,484
8/25/2000,421
8/18/2000,438
8/11/2000,302
8/4/2000,480
7/28/2000,587
7/21/2000,348
7/14/2000,518
7/7/2000,338
6/30/2000,602
6/23/2000,550
6/16/2000,632
6/9/2000,344
6/2/2000,722
5/26/2000,615
5/19/2000,804
5/12/2000,443
5/5/2000,533
4/28/2000,701
4/21/2000,600
4/14/2000,414
4/7/2000,522
3/31/2000,315
3/24/2000,724
3/17/2000,503
3/10/2000,523
3/3/2000,594
2/25/2000,668
2/18/2000,533
2/11/2000,451
2/4/2000,430
1/28/2000,884
1/21/2000,555
1/14/2000,480
1/7/2000,470
12/31/1999,680
12/24/1999,451
12/17/1999,245
12/10/1999,513
12/3/1999,339
11/26/1999,581
11/19/1999,398
11/12/1999,434
11/5/1999,235
10/29/1999,589
10/22/1999,550
10/15/1999,561
10/8/1999,581
10/1/1999,448
9/24/1999,596
9/17/1999,575
9/10/1999,540
9/3/1999,498
8/27/1999,546
8/20/1999,538
8/13/1999,602
8/6/1999,478
7/30/1999,498
7/23/1999,452
7/16/1999,513
7/9/1999,385
7/2/1999,684
6/25/1999,787
6/18/1999,875
6/11/1999,370
6/4/1999,430
5/28/1999,704
5/21/1999,524
5/14/1999,677
5/7/1999,773
4/30/1999,603
4/23/1999,799
4/16/1999,793
4/9/1999,638
4/2/1999,522
3/26/1999,514
3/19/1999,413
3/12/1999,473
3/5/1999,431
2/26/1999,464
2/19/1999,493
2/12/1999,549
2/5/1999,441
1/29/1999,540
1/22/1999,382
1/15/1999,546
1/8/1999,197
1/1/1999,640
12/25/1998,455
12/18/1998,493
12/11/1998,711
12/4/1998,441
11/27/1998,481
11/20/1998,587
11/13/1998,459
11/6/1998,470
10/30/1998,697
10/23/1998,472
10/16/1998,445
10/9/1998,412
10/2/1998,652
9/25/1998,478
9/18/1998,473
9/11/1998,462
9/4/1998,410
8/28/1998,473
8/21/1998,496
8/14/1998,715
8/7/1998,396
7/31/1998,574
7/24/1998,355
7/17/1998,525
7/10/1998,552
7/3/1998,489
6/26/1998,730
6/19/1998,561
6/12/1998,551
6/5/1998,852
5/29/1998,612
5/22/1998,612
5/15/1998,590
5/8/1998,650
5/1/1998,509
4/24/1998,505
4/17/1998,520
4/10/1998,590
4/3/1998,636
3/27/1998,279
3/20/1998,416
3/13/1998,490
3/6/1998,366
2/27/1998,430
2/20/1998,523
2/13/1998,303
2/6/1998,373
1/30/1998,411
1/23/1998,458
1/16/1998,350
1/9/1998,449
1/2/1998,333
12/26/1997,418
12/19/1997,383
12/12/1997,380
12/5/1997,290
11/28/1997,502
11/21/1997,355
11/14/1997,206
11/7/1997,354
10/31/1997,569
10/24/1997,443
10/17/1997,458
10/10/1997,230
10/3/1997,604
9/26/1997,420
9/19/1997,479
9/12/1997,552
9/5/1997,375
8/29/1997,535
8/22/1997,333
8/15/1997,633
8/8/1997,368
8/1/1997,555
7/25/1997,465
7/18/1997,492
7/11/1997,346
7/4/1997,657
6/27/1997,356
6/20/1997,708
6/13/1997,761
6/6/1997,482
